22	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594859795	1783594868401	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.09],"fluo":[0.09684,0.09697,0.09653,0.09648,0.09668,0.09699,0.09699,0.09687,0.09668],"s_630":[592,593,590,590,591,593,593,592,591],"r_630":[6113,6115,6112,6115,6113,6114,6114,6111,6113],"sun":[701,709,706,705,708,712,711,712,705],"leaf":[369,366,364,366,367,370,370,367,368],"timing":[194830344,201841295]}
23	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594870435	1783594879034	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.10],"fluo":[0.09772,0.09634,0.09668,0.09683,0.09670,0.09683,0.09663,0.09717,0.09764],"s_630":[597,589,591,592,591,592,591,594,597],"r_630":[6109,6114,6113,6114,6112,6114,6116,6113,6114],"sun":[705,709,709,702,706,703,706,707,707],"leaf":[371,364,368,364,368,363,364,362,366],"timing":[205480586,212491273]}
24	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594880065	1783594888658	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.13],"fluo":[0.09697,0.09697,0.09632,0.09648,0.09681,0.09680,0.09630,0.09758,0.09387],"s_630":[593,593,589,590,592,592,589,597,574],"r_630":[6115,6115,6115,6115,6115,6116,6116,6118,6115],"sun":[708,706,706,706,715,706,707,712,700],"leaf":[367,363,361,362,363,364,367,367,364],"timing":[215112701,222121350]}
25	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594889685	1783594898284	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.14],"fluo":[0.09712,0.09683,0.09678,0.09697,0.09663,0.09696,0.09681,0.09794,0.09797],"s_630":[594,592,592,593,591,593,592,599,599],"r_630":[6116,6114,6117,6115,6116,6116,6115,6116,6114],"sun":[706,712,708,709,709,707,709,704,707],"leaf":[368,363,366,365,369,360,365,363,369],"timing":[224742762,231752279]}
26	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594900315	1783594908915	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.07],"fluo":[0.09696,0.09666,0.09680,0.09694,0.09681,0.09697,0.09662,0.09730,0.09693],"s_630":[593,591,592,593,592,593,591,595,593],"r_630":[6116,6114,6116,6117,6115,6115,6117,6115,6118],"sun":[709,714,712,715,705,707,707,705,707],"leaf":[368,363,368,363,365,364,370,368,365],"timing":[235382261,242411625]}
27	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594909955	1783594918560	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.14],"fluo":[0.09711,0.09681,0.09693,0.09648,0.09663,0.09691,0.09691,0.09681,0.09483],"s_630":[594,592,593,590,591,593,593,592,580],"r_630":[6117,6115,6118,6115,6116,6119,6119,6115,6116],"sun":[703,704,706,705,707,704,701,707,707],"leaf":[365,359,365,368,369,366,364,366,366],"timing":[245022700,252032482]}
28	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594919585	1783594928185	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.04],"fluo":[0.09730,0.09729,0.09676,0.09709,0.09696,0.09693,0.09680,0.09696,0.09678],"s_630":[595,595,592,594,593,593,592,593,592],"r_630":[6115,6116,6118,6118,6116,6118,6116,6116,6117],"sun":[706,707,709,706,704,704,703,705,710],"leaf":[369,366,369,366,365,361,370,365,368],"timing":[254664338,261673930]}
29	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594930215	1783594938807	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.08],"fluo":[0.09760,0.09663,0.09694,0.09680,0.09678,0.09691,0.09694,0.09694,0.09691],"s_630":[597,591,593,592,592,593,593,593,593],"r_630":[6117,6116,6117,6116,6117,6119,6117,6117,6119],"sun":[712,715,708,709,709,711,705,705,711],"leaf":[372,366,368,364,364,369,365,364,364],"timing":[265293877,272322255]}
30	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594939835	1783594948442	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.15],"fluo":[0.09727,0.09675,0.09711,0.09678,0.09714,0.09644,0.09693,0.09707,0.10203],"s_630":[595,592,594,592,594,590,593,594,624],"r_630":[6117,6119,6117,6117,6115,6118,6118,6119,6116],"sun":[712,710,707,712,711,709,705,708,710],"leaf":[370,365,370,366,373,368,367,373,369],"timing":[274923794,281956887]}
31	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594950465	1783594959064	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.08],"fluo":[0.09693,0.09706,0.09691,0.09642,0.09724,0.09707,0.09688,0.09722,0.09676],"s_630":[593,594,593,590,595,594,593,595,592],"r_630":[6118,6120,6119,6119,6119,6119,6121,6120,6118],"sun":[709,713,707,709,713,709,708,712,707],"leaf":[373,367,366,364,369,369,371,367,367],"timing":[285566169,292615740]}
